report_date,period,business_type,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-11-12,daily,超市,3220.43,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,monthly,超市,34895.7,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,yearly,超市,1101654.71,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,daily,百货,645.16,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,monthly,百货,8592.91,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,yearly,百货,203511.06,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,daily,服饰,639.57,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,monthly,服饰,7013.27,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,yearly,服饰,144032.13,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,daily,电器,756.94,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,monthly,电器,7041.71,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,yearly,电器,190786.18,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,daily,珠宝,764.71,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,monthly,珠宝,6509.27,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,yearly,珠宝,212543.3,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,daily,医药,179.61,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,monthly,医药,1814.43,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,yearly,医药,45355.89,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,daily,餐饮,92.9,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,monthly,餐饮,1083.7,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,yearly,餐饮,32689.66,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,daily,电影,0.89,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,monthly,电影,23.31,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,yearly,电影,1988.82,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,daily,电玩,3.6,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,monthly,电玩,81.73,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,yearly,电玩,3637.44,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,daily,茶叶,354.9,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,monthly,茶叶,3281.46,1762876800000,2025-11-13T12:34:15.428234+08:00
2025-11-12,yearly,茶叶,90036.2,1762876800000,2025-11-13T12:34:15.428234+08:00
