report_date,period,business_type,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-11-14,daily,超市,3127.75,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,monthly,超市,40953.19,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,yearly,超市,1107712.2,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,daily,百货,563.55,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,monthly,百货,9703.05,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,yearly,百货,204621.2,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,daily,服饰,585.68,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,monthly,服饰,8169.52,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,yearly,服饰,145188.38,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,daily,电器,613.08,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,monthly,电器,8240.67,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,yearly,电器,191985.14,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,daily,珠宝,616.7,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,monthly,珠宝,7663.32,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,yearly,珠宝,213697.35,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,daily,医药,153.34,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,monthly,医药,2122.53,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,yearly,医药,45663.98,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,daily,餐饮,97.03,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,monthly,餐饮,1268.99,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,yearly,餐饮,32874.95,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,daily,电影,6.87,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,monthly,电影,31.14,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,yearly,电影,1996.65,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,daily,电玩,5.01,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,monthly,电玩,89.83,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,yearly,电玩,3645.54,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,daily,茶叶,300.9,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,monthly,茶叶,3884.61,1763049600000,2025-11-15T12:31:31.069717+08:00
2025-11-14,yearly,茶叶,90639.34,1763049600000,2025-11-15T12:31:31.069717+08:00
