report_date,period,business_type,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-11-05,daily,超市,3220.08,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,monthly,超市,14949.39,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,yearly,超市,1081708.39,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,daily,百货,624.78,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,monthly,百货,2993.4,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,yearly,百货,197911.55,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,daily,服饰,536.12,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,monthly,服饰,2849.85,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,yearly,服饰,139868.71,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,daily,电器,600.16,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,monthly,电器,2764.85,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,yearly,电器,186509.33,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,daily,珠宝,772.55,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,monthly,珠宝,2917.89,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,yearly,珠宝,208951.93,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,daily,医药,177.37,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,monthly,医药,761.0,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,yearly,医药,44302.45,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,daily,餐饮,90.48,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,monthly,餐饮,453.26,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,yearly,餐饮,32059.22,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,daily,电影,0.75,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,monthly,电影,13.09,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,yearly,电影,1978.6,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,daily,电玩,4.52,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,monthly,电玩,37.82,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,yearly,电玩,3593.53,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,daily,茶叶,352.56,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,monthly,茶叶,1317.04,1762272000000,2025-11-06T12:35:45.470403+08:00
2025-11-05,yearly,茶叶,88071.78,1762272000000,2025-11-06T12:35:45.470403+08:00
