report_date,period,business_type,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-11-28,daily,超市,3282.96,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,monthly,超市,81063.91,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,yearly,超市,1147822.92,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,daily,百货,609.09,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,monthly,百货,18005.1,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,yearly,百货,212923.25,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,daily,服饰,489.06,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,monthly,服饰,17935.45,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,yearly,服饰,154954.3,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,daily,电器,565.9,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,monthly,电器,15015.4,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,yearly,电器,198759.88,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,daily,珠宝,483.79,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,monthly,珠宝,15291.8,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,yearly,珠宝,221325.84,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,daily,医药,186.69,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,monthly,医药,4434.77,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,yearly,医药,47976.22,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,daily,餐饮,103.04,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,monthly,餐饮,2597.59,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,yearly,餐饮,34203.55,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,daily,电影,13.93,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,monthly,电影,107.58,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,yearly,电影,2073.08,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,daily,电玩,5.23,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,monthly,电玩,182.79,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,yearly,电玩,3738.49,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,daily,茶叶,294.08,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,monthly,茶叶,7784.32,1764259200000,2025-11-29T12:33:21.343003+08:00
2025-11-28,yearly,茶叶,94539.06,1764259200000,2025-11-29T12:33:21.343003+08:00
