report_date,period,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-11-23,daily,6857.0,1763827200000,2025-11-24T12:40:17.236679+08:00
2025-11-23,monthly,135769.0,1763827200000,2025-11-24T12:40:17.236679+08:00
2025-11-23,yearly,2091667.0,1763827200000,2025-11-24T12:40:17.236679+08:00
