report_date,period,business_type,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-11-03,daily,超市,3104.83,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,monthly,超市,10248.5,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,yearly,超市,1077007.51,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,daily,百货,573.6,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,monthly,百货,2219.65,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,yearly,百货,197137.8,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,daily,服饰,537.26,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,monthly,服饰,2172.52,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,yearly,服饰,139191.37,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,daily,电器,595.64,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,monthly,电器,1995.7,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,yearly,电器,185740.18,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,daily,珠宝,739.59,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,monthly,珠宝,2145.34,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,yearly,珠宝,208179.38,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,daily,医药,175.55,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,monthly,医药,506.7,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,yearly,医药,44048.16,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,daily,餐饮,68.71,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,monthly,餐饮,309.44,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,yearly,餐饮,31915.41,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,daily,电影,0.98,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,monthly,电影,11.34,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,yearly,电影,1976.85,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,daily,电玩,3.37,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,monthly,电玩,30.64,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,yearly,电玩,3586.34,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,daily,茶叶,286.22,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,monthly,茶叶,855.41,1762099200000,2025-11-04T12:32:10.156891+08:00
2025-11-03,yearly,茶叶,87610.15,1762099200000,2025-11-04T12:32:10.156891+08:00
