report_date,period,store_name,store_code,record_id,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-12-01,daily,许昌 天使城店,天使城店,recv492ZuhInjb,752.6,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,monthly,许昌 天使城店,天使城店,recv492ZuhInjb,752.6,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,yearly,许昌 天使城店,天使城店,recv492ZuhInjb,302133.84,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,daily,许昌 时代广场店,时代广场店,recv492ZuhXRug,1448.94,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,monthly,许昌 时代广场店,时代广场店,recv492ZuhXRug,1448.94,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,yearly,许昌 时代广场店,时代广场店,recv492ZuhXRug,547575.07,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,daily,许昌 生活广场店,生活广场店,recv492ZuhXbLy,765.99,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,monthly,许昌 生活广场店,生活广场店,recv492ZuhXbLy,765.99,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,yearly,许昌 生活广场店,生活广场店,recv492ZuhXbLy,158728.69,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,daily,许昌 大众服饰店,大众服饰店,recv492ZuhbXk0,240.99,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,monthly,许昌 大众服饰店,大众服饰店,recv492ZuhbXk0,240.99,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,yearly,许昌 大众服饰店,大众服饰店,recv492ZuhbXk0,38914.94,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,daily,许昌 禹州店,禹州店,recv492ZuhGzFm,309.59,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,monthly,许昌 禹州店,禹州店,recv492ZuhGzFm,309.59,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,yearly,许昌 禹州店,禹州店,recv492ZuhGzFm,108708.52,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,daily,许昌 金三角店,金三角店,recv492Zuhi41Q,208.49,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,monthly,许昌 金三角店,金三角店,recv492Zuhi41Q,208.49,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,yearly,许昌 金三角店,金三角店,recv492Zuhi41Q,82891.89,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,daily,许昌 北海店,北海店,recv492Zuh0Lzh,192.98,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,monthly,许昌 北海店,北海店,recv492Zuh0Lzh,192.98,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,yearly,许昌 北海店,北海店,recv492Zuh0Lzh,84467.29,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,daily,许昌 云鼎店,云鼎店,recv492ZuhBtKe,123.22,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,monthly,许昌 云鼎店,云鼎店,recv492ZuhBtKe,123.22,1764518400000,2025-12-02T12:38:35.474535+08:00
2025-12-01,yearly,许昌 云鼎店,云鼎店,recv492ZuhBtKe,44803.04,1764518400000,2025-12-02T12:38:35.474535+08:00
