report_date,period,store_name,store_code,record_id,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-11-25,daily,许昌 天使城店,天使城店,recv3zXXBEnFPm,877.35,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,许昌 天使城店,天使城店,recv3zXXBEnFPm,20957.5,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,许昌 天使城店,天使城店,recv3zXXBEnFPm,296986.95,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,daily,许昌 时代广场店,时代广场店,recv3zXXBE8zgg,18.83,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,许昌 时代广场店,时代广场店,recv3zXXBE8zgg,35413.98,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,许昌 时代广场店,时代广场店,recv3zXXBE8zgg,537384.58,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,daily,许昌 生活广场店,生活广场店,recv3zXXBEJ2Ss,0.0,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,许昌 生活广场店,生活广场店,recv3zXXBEJ2Ss,13067.36,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,许昌 生活广场店,生活广场店,recv3zXXBEJ2Ss,154077.62,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,daily,许昌 大众服饰店,大众服饰店,recv3zXXBEM1es,199.25,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,许昌 大众服饰店,大众服饰店,recv3zXXBEM1es,4365.45,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,许昌 大众服饰店,大众服饰店,recv3zXXBEM1es,37396.21,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,daily,许昌 禹州店,禹州店,recv3zXXBEPc5c,266.84,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,许昌 禹州店,禹州店,recv3zXXBEPc5c,6943.08,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,许昌 禹州店,禹州店,recv3zXXBEPc5c,106719.16,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,daily,许昌 金三角店,金三角店,recv3zXXBEgEaC,206.07,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,许昌 金三角店,金三角店,recv3zXXBEgEaC,4743.26,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,许昌 金三角店,金三角店,recv3zXXBEgEaC,81695.72,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,daily,许昌 北海店,北海店,recv3zXXBELC0y,164.97,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,许昌 北海店,北海店,recv3zXXBELC0y,4849.43,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,许昌 北海店,北海店,recv3zXXBELC0y,83213.48,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,daily,许昌 云鼎店,云鼎店,recv3zXXBE9Qax,5.97,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,许昌 云鼎店,云鼎店,recv3zXXBE9Qax,2462.03,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,许昌 云鼎店,云鼎店,recv3zXXBE9Qax,44078.8,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,daily,许昌 金汇店,金汇店,recv3zXXBEvAOd,132.05,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,许昌 金汇店,金汇店,recv3zXXBEvAOd,3119.09,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,许昌 金汇店,金汇店,recv3zXXBEvAOd,56539.87,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,daily,许昌 魏源店,魏源店,recv3zXXBEg1r3,10.34,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,许昌 魏源店,魏源店,recv3zXXBEg1r3,2265.11,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,许昌 魏源店,魏源店,recv3zXXBEg1r3,40032.39,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,daily,许昌 劳动店,劳动店,recv3zXXBEDjA1,0.0,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,许昌 劳动店,劳动店,recv3zXXBEDjA1,722.06,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,许昌 劳动店,劳动店,recv3zXXBEDjA1,13626.29,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,daily,许昌 线上商城,线上商城,recv3zXXBE8U4w,239.52,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,许昌 线上商城,线上商城,recv3zXXBE8U4w,6203.88,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,许昌 线上商城,线上商城,recv3zXXBE8U4w,87251.88,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,daily,新乡 大胖店,大胖店,recv3zXXBE2UHI,5.14,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,新乡 大胖店,大胖店,recv3zXXBE2UHI,19997.52,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,新乡 大胖店,大胖店,recv3zXXBE2UHI,296800.76,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,daily,新乡 小胖店,小胖店,recv3zXXBEKYtq,3.7,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,新乡 小胖店,小胖店,recv3zXXBEKYtq,17007.78,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,新乡 小胖店,小胖店,recv3zXXBEKYtq,240042.54,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,daily,许昌 实业公司店,实业公司店,recv3zXXBE8rj8,150.51,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,monthly,许昌 实业公司店,实业公司店,recv3zXXBE8rj8,6818.62,1764000000000,2025-11-26T12:35:18.448293+08:00
2025-11-25,yearly,许昌 实业公司店,实业公司店,recv3zXXBE8rj8,116005.61,1764000000000,2025-11-26T12:35:18.448293+08:00
