report_date,period,store_name,store_code,record_id,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-11-13,daily,许昌 天使城店,天使城店,recv2rNEXSjQkG,787.8,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,许昌 天使城店,天使城店,recv2rNEXSjQkG,11091.21,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,许昌 天使城店,天使城店,recv2rNEXSjQkG,287120.66,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,许昌 时代广场店,时代广场店,recv2rNEXS4QG1,1461.58,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,许昌 时代广场店,时代广场店,recv2rNEXS4QG1,18891.94,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,许昌 时代广场店,时代广场店,recv2rNEXS4QG1,520862.55,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,许昌 生活广场店,生活广场店,recv2rNEXSfxJP,549.29,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,许昌 生活广场店,生活广场店,recv2rNEXSfxJP,6433.22,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,许昌 生活广场店,生活广场店,recv2rNEXSfxJP,147443.48,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,许昌 大众服饰店,大众服饰店,recv2rNEXSdSd8,137.44,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,许昌 大众服饰店,大众服饰店,recv2rNEXSdSd8,1952.5,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,许昌 大众服饰店,大众服饰店,recv2rNEXSdSd8,34983.26,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,许昌 禹州店,禹州店,recv2rNEXSWYHw,255.55,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,许昌 禹州店,禹州店,recv2rNEXSWYHw,3567.88,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,许昌 禹州店,禹州店,recv2rNEXSWYHw,103343.96,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,许昌 金三角店,金三角店,recv2rNEXSHYTL,172.25,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,许昌 金三角店,金三角店,recv2rNEXSHYTL,2546.78,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,许昌 金三角店,金三角店,recv2rNEXSHYTL,79499.24,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,许昌 北海店,北海店,recv2rNEXSVEwt,163.53,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,许昌 北海店,北海店,recv2rNEXSVEwt,2509.77,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,许昌 北海店,北海店,recv2rNEXSVEwt,80873.83,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,许昌 云鼎店,云鼎店,recv2rNEXSgpKr,96.29,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,许昌 云鼎店,云鼎店,recv2rNEXSgpKr,1317.34,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,许昌 云鼎店,云鼎店,recv2rNEXSgpKr,42934.1,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,许昌 金汇店,金汇店,recv2rNEXS9bg7,108.35,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,许昌 金汇店,金汇店,recv2rNEXS9bg7,1687.44,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,许昌 金汇店,金汇店,recv2rNEXS9bg7,55108.22,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,许昌 魏源店,魏源店,recv2rNEXSGGAO,83.89,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,许昌 魏源店,魏源店,recv2rNEXSGGAO,1200.64,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,许昌 魏源店,魏源店,recv2rNEXSGGAO,38967.92,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,许昌 劳动店,劳动店,recv2rNEXSA8C3,34.0,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,许昌 劳动店,劳动店,recv2rNEXSA8C3,380.52,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,许昌 劳动店,劳动店,recv2rNEXSA8C3,13284.75,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,许昌 线上商城,线上商城,recv2rNEXSZDmx,242.94,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,许昌 线上商城,线上商城,recv2rNEXSZDmx,3699.06,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,许昌 线上商城,线上商城,recv2rNEXSZDmx,84747.07,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,新乡 大胖店,大胖店,recv2rNEXSMaXW,864.42,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,新乡 大胖店,大胖店,recv2rNEXSMaXW,10978.75,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,新乡 大胖店,大胖店,recv2rNEXSMaXW,287781.99,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,新乡 小胖店,小胖店,recv2rNEXSrrm0,716.73,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,新乡 小胖店,小胖店,recv2rNEXSrrm0,9018.88,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,新乡 小胖店,小胖店,recv2rNEXSrrm0,232053.65,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,许昌 实业公司店,实业公司店,recv2rNEXSVH6J,280.22,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,许昌 实业公司店,实业公司店,recv2rNEXSVH6J,3477.49,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,许昌 实业公司店,实业公司店,recv2rNEXSVH6J,112664.48,1762963200000,2025-11-14T12:33:20.977984+08:00
