report_date,period,business_type,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-11-13,daily,超市,2929.75,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,超市,37825.45,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,超市,1104584.46,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,百货,546.59,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,百货,9139.5,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,百货,204057.64,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,服饰,570.58,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,服饰,7583.85,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,服饰,144602.7,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,电器,585.88,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,电器,7627.59,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,电器,191372.06,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,珠宝,537.35,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,珠宝,7046.62,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,珠宝,213080.65,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,医药,154.76,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,医药,1969.19,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,医药,45510.64,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,餐饮,88.26,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,餐饮,1171.95,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,餐饮,32777.92,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,电影,0.96,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,电影,24.27,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,电影,1989.78,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,电玩,3.08,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,电玩,84.82,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,电玩,3640.53,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,daily,茶叶,302.25,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,monthly,茶叶,3583.71,1762963200000,2025-11-14T12:33:20.977984+08:00
2025-11-13,yearly,茶叶,90338.44,1762963200000,2025-11-14T12:33:20.977984+08:00
