report_date,period,business_type,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-10-08,daily,超市,4022.93,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,超市,40409.13,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,超市,997395.63,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,百货,1484.37,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,百货,9679.13,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,百货,180238.09,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,服饰,822.39,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,服饰,6676.44,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,服饰,123005.41,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,电器,1648.38,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,电器,10010.58,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,电器,171499.52,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,珠宝,1281.34,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,珠宝,9635.01,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,珠宝,189562.25,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,医药,191.42,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,医药,1471.89,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,医药,40050.94,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,餐饮,130.19,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,餐饮,1120.48,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,餐饮,29488.61,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,电影,5.03,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,电影,78.76,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,电影,1907.25,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,电玩,16.49,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,电玩,195.34,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,电玩,3417.47,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,茶叶,279.49,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,茶叶,2784.49,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,茶叶,80469.26,1759852800000,2025-10-09T12:31:04.529171+08:00
