report_date,period,store_name,store_code,record_id,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-10-08,daily,许昌 天使城店,天使城店,recuZ3iJ4gZZIW,1154.17,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,许昌 天使城店,天使城店,recuZ3iJ4gZZIW,11463.04,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,许昌 天使城店,天使城店,recuZ3iJ4gZZIW,257716.98,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,许昌 时代广场店,时代广场店,recuZ3iJ4gNLvQ,2988.68,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,许昌 时代广场店,时代广场店,recuZ3iJ4gNLvQ,21829.31,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,许昌 时代广场店,时代广场店,recuZ3iJ4gNLvQ,465312.72,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,许昌 生活广场店,生活广场店,recuZ3iJ4geCBB,692.64,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,许昌 生活广场店,生活广场店,recuZ3iJ4geCBB,5758.18,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,许昌 生活广场店,生活广场店,recuZ3iJ4geCBB,129161.86,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,许昌 大众服饰店,大众服饰店,recuZ3iJ4g9ErB,160.52,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,许昌 大众服饰店,大众服饰店,recuZ3iJ4g9ErB,1809.46,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,许昌 大众服饰店,大众服饰店,recuZ3iJ4g9ErB,29426.77,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,许昌 禹州店,禹州店,recuZ3iJ4gj0fg,328.67,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,许昌 禹州店,禹州店,recuZ3iJ4gj0fg,4087.6,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,许昌 禹州店,禹州店,recuZ3iJ4gj0fg,93398.97,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,许昌 金三角店,金三角店,recuZ3iJ4guJqK,269.92,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,许昌 金三角店,金三角店,recuZ3iJ4guJqK,3331.16,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,许昌 金三角店,金三角店,recuZ3iJ4guJqK,71945.65,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,许昌 北海店,北海店,recuZ3iJ4gSzZG,270.32,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,许昌 北海店,北海店,recuZ3iJ4gSzZG,3230.5,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,许昌 北海店,北海店,recuZ3iJ4gSzZG,73366.25,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,许昌 云鼎店,云鼎店,recuZ3iJ4gFkVb,158.07,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,许昌 云鼎店,云鼎店,recuZ3iJ4gFkVb,1635.41,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,许昌 云鼎店,云鼎店,recuZ3iJ4gFkVb,39089.7,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,许昌 金汇店,金汇店,recuZ3iJ4gZXqV,157.63,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,许昌 金汇店,金汇店,recuZ3iJ4gZXqV,2333.25,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,许昌 金汇店,金汇店,recuZ3iJ4gZXqV,50415.37,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,许昌 魏源店,魏源店,recuZ3iJ4gIuOs,137.41,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,许昌 魏源店,魏源店,recuZ3iJ4gIuOs,1532.59,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,许昌 魏源店,魏源店,recuZ3iJ4gIuOs,35481.13,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,许昌 劳动店,劳动店,recuZ3iJ4gS9u0,45.61,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,monthly,许昌 劳动店,劳动店,recuZ3iJ4gS9u0,489.69,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,yearly,许昌 劳动店,劳动店,recuZ3iJ4gS9u0,12167.69,1759852800000,2025-10-09T12:31:04.529171+08:00
2025-10-08,daily,许昌 线上商城,线上商城,recuZ3iJ4g37mR,419.29,1759852800000,2025-10-09T12:31:04.529171+08:00
