report_date,period,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-09-27,daily,9583.0,1758902400000,2025-09-28T12:29:54.670370+08:00
2025-09-27,monthly,176013.0,1758902400000,2025-09-28T12:29:54.670370+08:00
2025-09-27,yearly,1712873.0,1758902400000,2025-09-28T12:29:54.670370+08:00
