report_date,period,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-12-21,daily,7515.0,1766246400000,2025-12-22T12:48:20.340891+08:00
2025-12-21,monthly,142209.0,1766246400000,2025-12-22T12:48:20.340891+08:00
2025-12-21,yearly,2276727.0,1766246400000,2025-12-22T12:48:20.340891+08:00
