report_date,period,business_type,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-11-26,daily,超市,3243.5,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,monthly,超市,74729.76,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,yearly,超市,1141488.77,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,daily,百货,653.6,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,monthly,百货,16800.34,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,yearly,百货,211718.48,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,daily,服饰,829.76,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,monthly,服饰,16664.54,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,yearly,服饰,153683.4,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,daily,电器,522.43,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,monthly,电器,13946.65,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,yearly,电器,197691.12,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,daily,珠宝,847.96,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,monthly,珠宝,14289.59,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,yearly,珠宝,220323.62,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,daily,医药,193.75,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,monthly,医药,4069.89,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,yearly,医药,47611.35,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,daily,餐饮,99.61,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,monthly,餐饮,2400.02,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,yearly,餐饮,34005.98,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,daily,电影,11.26,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,monthly,电影,82.82,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,yearly,电影,2048.33,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,daily,电玩,3.31,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,monthly,电玩,173.67,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,yearly,电玩,3729.37,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,daily,茶叶,347.29,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,monthly,茶叶,7191.74,1764086400000,2025-11-27T12:34:17.224115+08:00
2025-11-26,yearly,茶叶,93946.48,1764086400000,2025-11-27T12:34:17.224115+08:00
