report_date,period,business_type,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-12-04,daily,超市,3937.85,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,monthly,超市,12701.81,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,yearly,超市,1167980.73,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,daily,百货,661.03,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,monthly,百货,2107.37,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,yearly,百货,217108.63,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,daily,服饰,905.27,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,monthly,服饰,3080.38,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,yearly,服饰,160612.87,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,daily,电器,438.05,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,monthly,电器,1572.03,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,yearly,电器,201708.64,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,daily,珠宝,855.92,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,monthly,珠宝,2309.25,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,yearly,珠宝,224973.56,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,daily,医药,179.65,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,monthly,医药,646.18,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,yearly,医药,49006.31,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,daily,餐饮,101.88,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,monthly,餐饮,339.02,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,yearly,餐饮,34796.39,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,daily,电影,3.39,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,monthly,电影,21.58,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,yearly,电影,2159.71,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,daily,电玩,3.03,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,monthly,电玩,13.45,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,yearly,电玩,3784.03,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,daily,茶叶,379.24,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,monthly,茶叶,1236.93,1764777600000,2025-12-05T12:38:07.340718+08:00
2025-12-04,yearly,茶叶,96414.45,1764777600000,2025-12-05T12:38:07.340718+08:00
