report_date,period,business_type,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-11-11,daily,超市,1398.37,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,超市,31675.27,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,超市,1098434.28,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,百货,222.98,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,百货,7947.75,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,百货,202865.89,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,服饰,178.11,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,服饰,6373.7,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,服饰,143392.55,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,电器,250.6,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,电器,6284.77,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,电器,190029.25,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,珠宝,0.0,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,珠宝,5744.56,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,珠宝,211778.59,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,医药,77.13,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,医药,1634.82,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,医药,45176.28,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,餐饮,31.42,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,餐饮,990.79,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,餐饮,32596.76,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,电影,0.94,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,电影,22.43,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,电影,1987.93,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,电玩,2.71,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,电玩,78.13,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,电玩,3633.84,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,茶叶,124.11,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,茶叶,2926.56,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,茶叶,89681.29,1762790400000,2025-11-12T12:34:02.113184+08:00
