report_date,period,store_name,store_code,record_id,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-11-11,daily,许昌 天使城店,天使城店,recv2g6AWEHvi7,1031.3,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,许昌 天使城店,天使城店,recv2g6AWEHvi7,9474.79,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,许昌 天使城店,天使城店,recv2g6AWEHvi7,285504.24,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,许昌 时代广场店,时代广场店,recv2g6AWEksm9,31.72,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,许昌 时代广场店,时代广场店,recv2g6AWEksm9,15544.69,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,许昌 时代广场店,时代广场店,recv2g6AWEksm9,517515.3,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,许昌 生活广场店,生活广场店,recv2g6AWEcTJj,0.0,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,许昌 生活广场店,生活广场店,recv2g6AWEcTJj,5275.24,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,许昌 生活广场店,生活广场店,recv2g6AWEcTJj,146285.5,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,许昌 大众服饰店,大众服饰店,recv2g6AWEFOYL,150.88,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,许昌 大众服饰店,大众服饰店,recv2g6AWEFOYL,1673.05,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,许昌 大众服饰店,大众服饰店,recv2g6AWEFOYL,34703.81,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,许昌 禹州店,禹州店,recv2g6AWEffE2,246.56,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,许昌 禹州店,禹州店,recv2g6AWEffE2,3060.52,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,许昌 禹州店,禹州店,recv2g6AWEffE2,102836.6,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,许昌 金三角店,金三角店,recv2g6AWEMb0O,190.33,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,许昌 金三角店,金三角店,recv2g6AWEMb0O,2195.95,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,许昌 金三角店,金三角店,recv2g6AWEMb0O,79148.41,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,许昌 北海店,北海店,recv2g6AWEvFPx,183.02,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,许昌 北海店,北海店,recv2g6AWEvFPx,2190.3,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,许昌 北海店,北海店,recv2g6AWEvFPx,80554.35,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,许昌 云鼎店,云鼎店,recv2g6AWExwG0,6.14,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,monthly,许昌 云鼎店,云鼎店,recv2g6AWExwG0,1102.11,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,yearly,许昌 云鼎店,云鼎店,recv2g6AWExwG0,42718.88,1762790400000,2025-11-12T12:34:02.113184+08:00
2025-11-11,daily,许昌 金汇店,金汇店,recv2g6AWE7XlG,131.49,1762790400000,2025-11-12T12:34:02.113184+08:00
