report_date,period,business_type,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-11-06,daily,超市,2910.02,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,monthly,超市,17859.4,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,yearly,超市,1084618.41,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,daily,百货,562.16,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,monthly,百货,3555.56,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,yearly,百货,198473.7,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,daily,服饰,501.21,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,monthly,服饰,3351.07,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,yearly,服饰,140369.92,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,daily,电器,507.66,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,monthly,电器,3272.52,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,yearly,电器,187016.99,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,daily,珠宝,542.02,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,monthly,珠宝,3459.91,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,yearly,珠宝,209493.94,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,daily,医药,154.13,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,monthly,医药,915.13,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,yearly,医药,44456.58,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,daily,餐饮,88.92,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,monthly,餐饮,542.18,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,yearly,餐饮,32148.14,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,daily,电影,0.77,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,monthly,电影,13.86,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,yearly,电影,1979.37,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,daily,电玩,3.66,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,monthly,电玩,41.48,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,yearly,电玩,3597.19,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,daily,茶叶,307.6,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,monthly,茶叶,1624.64,1762358400000,2025-11-07T12:32:18.832572+08:00
2025-11-06,yearly,茶叶,88379.37,1762358400000,2025-11-07T12:32:18.832572+08:00
