report_date,period,business_type,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-11-04,daily,超市,1480.8,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,monthly,超市,11729.3,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,yearly,超市,1078488.31,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,daily,百货,148.57,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,monthly,百货,2368.62,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,yearly,百货,197286.76,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,daily,服饰,141.21,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,monthly,服饰,2313.73,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,yearly,服饰,139332.59,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,daily,电器,168.99,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,monthly,电器,2164.69,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,yearly,电器,185909.17,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,daily,珠宝,0.0,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,monthly,珠宝,2145.34,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,yearly,珠宝,208179.38,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,daily,医药,76.93,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,monthly,医药,583.63,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,yearly,医药,44125.09,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,daily,餐饮,30.47,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,monthly,餐饮,362.78,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,yearly,餐饮,31968.74,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,daily,电影,0.99,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,monthly,电影,12.33,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,yearly,电影,1977.84,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,daily,电玩,2.67,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,monthly,电玩,33.31,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,yearly,电玩,3589.01,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,daily,茶叶,109.07,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,monthly,茶叶,964.48,1762185600000,2025-11-05T12:33:07.560509+08:00
2025-11-04,yearly,茶叶,87719.22,1762185600000,2025-11-05T12:33:07.560509+08:00
