report_date,period,store_name,store_code,record_id,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-10-07,daily,许昌 天使城店,天使城店,recuYXs4ROzhvy,1558.51,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,许昌 天使城店,天使城店,recuYXs4ROzhvy,10308.87,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,许昌 天使城店,天使城店,recuYXs4ROzhvy,256562.81,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,许昌 时代广场店,时代广场店,recuYXs4ROqoJf,27.28,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,许昌 时代广场店,时代广场店,recuYXs4ROqoJf,18840.62,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,许昌 时代广场店,时代广场店,recuYXs4ROqoJf,462341.34,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,许昌 生活广场店,生活广场店,recuYXs4ROinFG,0.0,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,许昌 生活广场店,生活广场店,recuYXs4ROinFG,5065.54,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,许昌 生活广场店,生活广场店,recuYXs4ROinFG,128469.21,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,许昌 大众服饰店,大众服饰店,recuYXs4ROQy3v,248.72,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,许昌 大众服饰店,大众服饰店,recuYXs4ROQy3v,1648.94,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,许昌 大众服饰店,大众服饰店,recuYXs4ROQy3v,29266.25,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,许昌 禹州店,禹州店,recuYXs4RObWoM,444.33,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,许昌 禹州店,禹州店,recuYXs4RObWoM,3758.93,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,许昌 禹州店,禹州店,recuYXs4RObWoM,93070.3,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,许昌 金三角店,金三角店,recuYXs4ROuFrX,493.18,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,许昌 金三角店,金三角店,recuYXs4ROuFrX,3061.24,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,许昌 金三角店,金三角店,recuYXs4ROuFrX,71675.73,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,许昌 北海店,北海店,recuYXs4ROvsrm,386.78,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,许昌 北海店,北海店,recuYXs4ROvsrm,2960.18,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,许昌 北海店,北海店,recuYXs4ROvsrm,73095.93,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,许昌 云鼎店,云鼎店,recuYXs4ROTprI,6.36,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,许昌 云鼎店,云鼎店,recuYXs4ROTprI,1477.34,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,许昌 云鼎店,云鼎店,recuYXs4ROTprI,38931.63,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,许昌 金汇店,金汇店,recuYXs4ROilY7,364.81,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,许昌 金汇店,金汇店,recuYXs4ROilY7,2175.62,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,许昌 金汇店,金汇店,recuYXs4ROilY7,50257.74,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,许昌 魏源店,魏源店,recuYXs4ROqF6a,11.76,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,许昌 魏源店,魏源店,recuYXs4ROqF6a,1395.18,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,许昌 魏源店,魏源店,recuYXs4ROqF6a,35343.72,1759766400000,2025-10-08T12:30:44.568082+08:00
