report_date,period,business_type,sales_wan,occurred_at_ms,fetched_at_shanghai
2025-10-07,daily,超市,2625.38,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,超市,36386.2,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,超市,993372.7,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,百货,372.6,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,百货,8194.76,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,百货,178753.72,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,服饰,294.6,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,服饰,5854.05,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,服饰,122183.02,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,电器,459.92,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,电器,8362.2,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,电器,169851.14,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,珠宝,0.0,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,珠宝,8353.67,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,珠宝,188280.91,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,医药,104.15,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,医药,1280.48,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,医药,39876.83,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,餐饮,57.49,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,餐饮,990.29,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,餐饮,29358.42,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,电影,7.52,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,电影,73.73,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,电影,1902.21,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,电玩,18.32,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,电玩,178.85,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,电玩,3400.97,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,daily,茶叶,114.49,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,monthly,茶叶,2505.0,1759766400000,2025-10-08T12:30:44.568082+08:00
2025-10-07,yearly,茶叶,80189.77,1759766400000,2025-10-08T12:30:44.568082+08:00
